iter	Passed	Remaining
0	113	113712
1	114	57303
2	115	38455
3	116	29027
4	117	23370
5	118	19593
6	119	16890
7	120	14949
8	121	13381
9	122	12167
10	123	11129
11	124	10265
12	125	9554
13	127	9000
14	128	8470
15	129	7992
16	131	7580
17	133	7258
18	134	6929
19	135	6619
20	136	6348
21	137	6093
22	137	5859
23	138	5643
24	139	5445
25	140	5267
26	141	5104
27	142	4949
28	143	4806
29	144	4669
30	145	4547
31	146	4428
32	147	4316
33	148	4209
34	148	4108
35	149	4016
36	150	3925
37	151	3839
38	152	3757
39	153	3683
40	154	3610
41	155	3543
42	156	3476
43	157	3412
44	157	3350
45	158	3291
46	159	3236
47	160	3186
48	161	3135
49	162	3085
50	163	3038
51	164	2991
52	165	2948
53	165	2907
54	166	2868
55	167	2827
56	168	2788
57	169	2751
58	170	2717
59	171	2681
60	172	2647
61	172	2615
62	173	2585
63	174	2559
64	175	2530
65	176	2501
66	177	2473
67	178	2440
68	178	2414
69	180	2391
70	181	2371
71	182	2347
72	182	2323
73	183	2299
74	184	2277
75	185	2256
76	186	2237
77	187	2216
78	188	2195
79	189	2176
80	190	2157
81	190	2137
82	191	2119
83	192	2103
84	193	2084
85	194	2066
86	195	2046
87	195	2029
88	196	2012
89	197	1996
90	198	1980
91	199	1967
92	200	1952
93	201	1937
94	201	1922
95	202	1908
96	203	1894
97	204	1881
98	205	1867
99	206	1854
100	207	1843
101	207	1828
102	208	1817
103	209	1804
104	210	1792
105	211	1780
106	211	1768
107	212	1758
108	213	1748
109	214	1738
110	215	1726
111	216	1716
112	217	1706
113	218	1696
114	219	1685
115	219	1675
116	220	1666
117	221	1656
118	222	1645
119	223	1637
120	224	1627
121	224	1618
122	225	1606
123	226	1598
124	227	1590
125	228	1581
126	228	1573
127	229	1563
128	230	1555
129	231	1547
130	232	1541
131	233	1534
132	234	1527
133	235	1519
134	235	1511
135	236	1504
136	237	1497
137	238	1488
138	239	1481
139	240	1474
140	241	1468
141	242	1463
142	243	1456
143	243	1449
144	244	1443
145	245	1436
146	246	1430
147	247	1423
148	248	1416
149	248	1410
150	249	1403
151	250	1398
152	251	1391
153	252	1385
154	253	1381
155	254	1375
156	255	1369
157	256	1365
158	257	1359
159	257	1354
160	258	1348
161	259	1342
162	260	1337
163	261	1332
164	262	1326
165	262	1321
166	263	1315
167	264	1311
168	265	1305
169	266	1300
170	267	1295
171	268	1291
172	269	1287
173	270	1282
174	271	1277
175	271	1272
176	272	1267
177	273	1262
178	274	1258
179	275	1253
180	275	1247
181	276	1242
182	277	1237
183	278	1233
184	278	1229
185	279	1224
186	280	1220
187	281	1215
188	282	1211
189	283	1207
190	284	1203
191	284	1198
192	285	1195
193	286	1191
194	287	1187
195	288	1184
196	289	1179
197	290	1175
198	291	1171
199	291	1167
200	292	1163
201	293	1161
202	294	1158
203	296	1155
204	297	1152
205	298	1149
206	299	1145
207	299	1141
208	300	1137
209	301	1134
210	302	1130
211	303	1127
212	304	1123
213	304	1120
214	305	1116
215	306	1114
216	307	1110
217	308	1107
218	309	1104
219	310	1101
220	311	1097
221	312	1094
222	313	1090
223	313	1087
224	314	1083
225	315	1080
226	316	1077
227	317	1074
228	317	1070
229	318	1067
230	319	1064
231	320	1060
232	321	1057
233	322	1055
234	323	1052
235	324	1049
236	324	1046
237	325	1043
238	326	1040
239	327	1036
240	328	1033
241	329	1030
242	329	1027
243	330	1024
244	331	1021
245	332	1018
246	333	1015
247	334	1012
248	334	1009
249	335	1007
250	336	1005
251	337	1002
252	338	999
253	339	996
254	340	993
255	340	990
256	341	988
257	342	985
258	343	982
259	344	980
260	345	977
261	345	974
262	347	972
263	347	969
264	348	967
265	349	965
266	350	962
267	351	959
268	352	957
269	353	954
270	353	952
271	354	949
272	355	946
273	356	944
274	357	941
275	358	939
276	358	936
277	359	934
278	360	931
279	361	929
280	362	928
281	363	925
282	364	923
283	365	920
284	366	918
285	367	916
286	367	913
287	368	911
288	369	908
289	370	906
290	371	904
291	372	901
292	372	899
293	373	897
294	374	894
295	375	892
296	376	891
297	377	889
298	378	886
299	379	884
300	379	882
301	380	879
302	381	877
303	382	875
304	383	873
305	384	871
306	384	868
307	385	866
308	386	864
309	387	862
310	388	860
311	389	858
312	390	856
313	391	854
314	392	852
315	392	850
316	393	848
317	394	846
318	395	843
319	396	841
320	396	839
321	397	837
322	398	835
323	399	833
324	400	831
325	401	829
326	402	827
327	403	826
328	404	824
329	404	821
330	405	820
331	406	818
332	407	816
333	408	813
334	408	811
335	409	809
336	410	807
337	411	805
338	412	803
339	413	802
340	414	800
341	415	798
342	416	796
343	417	795
344	418	794
345	419	792
346	419	790
347	420	788
348	421	786
349	422	784
350	423	782
351	423	780
352	424	778
353	425	776
354	426	774
355	427	772
356	428	770
357	428	769
358	429	767
359	430	766
360	431	764
361	432	762
362	433	760
363	434	758
364	435	757
365	435	755
366	436	753
367	437	751
368	438	749
369	439	748
370	440	746
371	441	744
372	442	743
373	443	741
374	444	740
375	445	738
376	446	737
377	447	735
378	447	733
379	448	732
380	449	730
381	450	728
382	451	727
383	452	725
384	453	724
385	454	722
386	455	720
387	455	719
388	456	717
389	458	716
390	458	714
